iter	Passed	Remaining
0	1	146
1	2	135
2	4	130
3	5	120
4	6	119
5	7	117
6	8	118
7	10	116
8	11	115
9	12	113
10	13	113
11	15	111
12	16	111
13	17	110
14	19	108
15	20	107
16	21	106
17	22	104
18	24	102
19	25	101
20	26	100
21	27	99
22	29	97
23	30	96
24	31	95
25	33	93
26	34	92
27	35	91
28	37	90
29	38	89
30	39	88
31	40	86
32	41	85
33	43	84
34	44	82
35	45	81
36	47	80
37	48	79
38	49	77
39	51	76
40	52	75
41	53	73
42	54	71
43	55	70
44	56	69
45	58	68
46	59	66
47	60	65
48	61	64
49	63	63
50	64	61
51	65	60
52	67	59
53	68	58
54	69	56
55	70	55
56	71	54
57	73	52
58	74	51
59	75	50
60	76	49
61	78	47
62	79	46
63	80	45
64	82	44
65	83	43
66	85	41
67	86	40
68	87	39
69	89	38
70	90	36
71	91	35
72	93	34
73	94	33
74	95	31
75	97	30
76	98	29
77	99	28
78	101	26
79	102	25
80	103	24
81	104	23
82	106	21
83	107	20
84	109	19
85	110	17
86	111	16
87	113	15
88	114	14
89	115	12
90	117	11
91	118	10
92	119	9
93	121	7
94	122	6
95	123	5
96	124	3
97	126	2
98	127	1
99	129	0
